version_taxref	cd_ref_taxref	phylum_taxref	classe_taxref	ordre_taxref	famille_taxref	genre_taxref	nom_valide_taxref	nom_latin_taxref	nom_vern_taxref	habitat_taxref	libelle_indigenat_taxref	indigenat_regional	synthese_reglementations_protections	PROTECTION_NAT	BARC/OSPAR	BERN/BONN	COMMERCE	DO/DHFF	AUTRE_REGL	endemisme_national_taxref	complement_endemisme	statut_presence_regionale	rarete_regionale	presence_d24	presence_d33	presence_d40	presence_d47	presence_d64	presence_d19	presence_d23	presence_d87	presence_d16	presence_d17	presence_d79	presence_d86	enjeu_regional_conservation	statuts_biologiques_specifiques	resume_menace_metropole	categorie_lr_metropole	annee_lr_metropole	resume_menace_na	categorie_lr_aquitaine	annee_lr_aquitaine	categorie_lr_limousin	annee_lr_limousin	categorie_lr_poitou_charente	annee_lr_poitou_charente	determinante_aquitaine	determinante_pc	determinante_limousin	sensibilite_donnees
18.0	60408	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	"Myotis nattereri (Kuhl, 1817)"	"Myotis nattereri"	"Murin de Natterer, Vespertilion de Natterer"	Terrestre	"Indigène ou indéterminé"	Indigène	"PN, RE, RI"	"PN_Mamm_terretres (Art. 2)"		"BERN (Ann. II), BONN (Ann. II, EUROBATS - Ann. I)"		"DHFF (Ann. IV)"			"Non endémique"	Pr	Commune	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Notable		"Non menacée"	LC	2017	"Non menacée"	NT	2019			LC	2018	"Sous conditions"		Stricte	"Sous conditions"
18.0	77570	Chordata		Squamata	Phyllodactylidae	Tarentola	"Tarentola mauritanica (Linnaeus, 1758)"	"Tarentola mauritanica"	"Tarente de Maurétanie (La)"	Terrestre	"Indigène ou indéterminé"	"Introduite établie"	"PN, RI"	"PN_AmphiRept (Art. 3)"		"BERN (Ann. III)"					"Non endémique"	Pr	"Non évaluée"	Ab	Pr	Pr	Pr	Pr	Ab	Ab	Ab	Acc	Acc	Acc	Acc	"Non applicable"		"Non menacée"	LC	2015	Autre	NA	2013			NA	2016				
18.0	67606	Chordata	Actinopterygii	Esociformes	Esocidae	Esox	"Esox lucius Linnaeus, 1758"	"Esox lucius"	Brochet	"Eau douce"	"Indigène ou indéterminé"	Indigène	"PN, RN"	"PN_Poissons (Art. 1)"					"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Pr	"Non évaluée"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	"Non évaluée"		Menacée	VU	2019	Menacée			VU	2019			Stricte	Stricte	"Sous conditions"	
18.0	67292	Chordata	Actinopterygii	Cypriniformes	Leuciscidae	Leuciscus	"Leuciscus burdigalensis Valenciennes in Cuvier & Valenciennes, 1844"	"Leuciscus burdigalensis"	"Vandoise rostrée"	"Eau douce"	"Indigène ou indéterminé"	Indigène	PN	"PN_Poissons (Art. 1)"						Endémique	"Non endémique"	Pr	"Non évaluée"	Pr	Pr	Pr	Pr	Ab	Pr	Pr	Pr	Pr	Pr	Pr	Pr	"Non évaluée"		"Non menacée"	NT	2019	Menacée			VU	2019					Stricte	
18.0	836223	Chordata	Aves	Anseriformes	Anatidae	Spatula	"Spatula discors (Linnaeus, 1766)"	"Spatula discors"	"Sarcelle à ailes bleues"	"Continental (terrestre et eau douce)"	"Introduit établi ou possiblement établi"	Indéterminé	"PN, RI"	"PN_Oiseaux  (Art. 4)"		"BERN (Ann. III), BONN (Ann. II)"					"Non endémique"	Acc	"Non évaluée"	Ab	Acc	Acc	Ab	Ab	Ab	Ab	Ab	Ab	Acc	Ab	Ab	"Non évaluée"	NA	"Non évaluée"			"Non évaluée"										
18.0	79266	Chordata	Amphibia	Anura	Ranidae	Rana	"Rana pyrenaica Serra-Cobo, 1993"	"Rana pyrenaica"	"Grenouille des Pyrénées (La)"	"Continental (terrestre et eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI, RN"	"PN_AmphiRept (Art. 2)"		"BERN (Ann. III)"			"REGL_Derogation_CNPN (Ann. 1)"		"Endémisme pyrénéen"	Pr	"Très rare"	Ab	Ab	Ab	Ab	Pr	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Majeur		Menacée	EN	2015	Menacée	EN	2013					Stricte			Stricte
18.0	79285	Chordata		Squamata	Lacertidae	Iberolacerta	"Iberolacerta bonnali (Lantz, 1927)"	"Iberolacerta bonnali"	"Lézard de Bonnal (Le)"	Terrestre	"Indigène ou indéterminé"	Indigène	"PN, RE, RI"	"PN_AmphiRept (Art. 2)"		"BERN (Ann. III)"		"DHFF (Ann. II, Ann. IV)"		Subendémique	"Endémisme pyrénéen"	Pr	"Très rare"	Ab	Ab	Ab	Ab	Pr	Ab	Ab	Ab	Ab	Ab	Ab	Ab	"Très fort"		Menacée	VU	2015	Menacée	EN	2013					Stricte			
18.0	458944	Arthropoda	Insecta	Coleoptera	Carabidae	Aphaenops	"Aphaenops alberti Jeannel, 1939"	"Aphaenops alberti"		Terrestre	"Indigène ou indéterminé"	Indigène	PN	"PN_Insectes  (Art. 3)"						Endémique	"Endémisme pyrénéen"	Pr	"Non évaluée"	Ai	Ai	Ai	Ai	Pr	Ai	Ai	Ai	Ai	Ai	Ai	Ai	"Non évaluée"		"Non évaluée"			"Non évaluée"										
18.0	795220	Arthropoda	Insecta	Coleoptera	Carabidae	Aphaenops	"Aphaenops baretosanus Jeannel, 1941"	"Aphaenops baretosanus"		Terrestre	"Indigène ou indéterminé"	Indigène	PN	"PN_Insectes  (Art. 3)"						Endémique	"Endémisme pyrénéen"	Pr	"Non évaluée"	Ai	Ai	Ai	Ai	Pr	Ai	Ai	Ai	Ai	Ai	Ai	Ai	"Non évaluée"		"Non évaluée"			"Non évaluée"										
18.0	458945	Arthropoda	Insecta	Coleoptera	Carabidae	Aphaenops	"Aphaenops bessoni Cabidoche, 1962"	"Aphaenops bessoni"		Terrestre	"Indigène ou indéterminé"	Indigène	PN	"PN_Insectes  (Art. 3)"						Endémique	"Endémisme pyrénéen"	Pr	"Non évaluée"	Ab	Ab	Ab	Ab	Pr	Ab	Ab	Ab	Ab	Ab	Ab	Ab	"Non évaluée"		"Non évaluée"			"Non évaluée"										
